name,category,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6
Tequila Sunrise,Tequila,Blanco tequila,Orange juice,Grenadine,NA,NA,NA
Coffee Grasshopper,Brandy,Coffee-flavored brandy,White creme de menthe,half-and-half,NA,NA,NA
Tequila Straight,Tequila,Coarse salt,Blanco tequila,Lime wedge,NA,NA,NA
Tequila Sour,Tequila,Blanco tequila,Fresh lemon juice,Simple Syrup,NA,NA,NA
Tequila Smash,Tequila,Blueberries,Bing cherries,Blanco tequila,Maraschino liqueur,Fresh Lime Juice,Lime wheel skewered with blueberry and Bing cherry
Tequila Pink,Tequila,Blanco tequila,Dry Vermouth,Grenadine,NA,NA,NA
Tequila Old-Fashioned,Tequila,Blanco tequila,Simple Syrup,Angostura Bitters,Soda water,Lemon twist,NA
Rob Roy Cocktail,Cocktail Classics,Sweet Vermouth,Desmond & Duff Scotch Whisky,NA,NA,NA,NA
Tequila Mockingbird,Tequila,"Lime wedge, coarse salt",Minced ginger,Blanco tequila,Agave nectar,Fresh Lime Juice,Lime wheel
Tequila Matador,Tequila,Blanco tequila,Pineapple Juice,Fresh Lime Juice,NA,NA,NA
Tequila Manhattan,Tequila,Blanco tequila,Sweet Vermouth,Angostura Bitters,NA,NA,NA
T.N.T. Cocktail,Cocktail Classics,Old Thompson Blended Whiskey,Absinthe Substitute,NA,NA,NA,NA
Thunderclap Cocktail,Cocktail Classics,Old Mr. Boston Dry Gin,Old Thompson Blended Whiskey,Old Mr. Boston Five Star Brandy,NA,NA,NA
Thunder Cocktail,Cocktail Classics,Powdered Sugar,Egg Yolk,Old Mr. Boston Five Star Brandy,Cayenne Pepper,NA,NA
Tequila Collins,Tequila,Blanco tequila,Fresh lemon juice,Simple Syrup,NA,"lemon wheel, orange wheel, maraschino cherry",NA
White Lady Cocktail,Cocktail Classics,Egg White,Powdered Sugar,Sweet Cream,Old Mr. Boston Dry Gin,NA,NA
Tequila Canyon,Tequila,Blanco tequila,Triple Sec,Cranberry Juice,Pineapple Juice,Orange juice,Lime wheel
Chicago Cocktail,Brandy,"Lemon wedge, superfine sugar",Brandy,Fresh lemon juice,Orange curacao,Maraschino liqueur,NA
Sunday Confession,Tequila,Blanco tequila,Limoncello,Fresh lemon juice,NA,Lemon wedge,NA
Strawberry Margarita,Tequila,"Lime wedge, superfine sugar or coarse salt (optional)","Fresh strawberries, cut in half",Strawberry schnapps,Blanco tequila,Triple Sec,"Fresh Lime Juice, whole strawberry"
Western Rose Cocktail,Cocktail Classics,Old Mr. Boston Apricot Flavored Brandy,Old Mr. Boston Dry Gin,Dry Vermouth,Lemon Juice,NA,NA
Widow's Kiss Cocktail,Cocktail Classics,Old Mr. Boston Five Star Brandy,Yellow Chartreuse,Benedictine,Peychaud Bitters,NA,NA
Spice Of Life,Tequila,Cucumber,Fresh mint leaves,Simple Syrup,Jalapeno-Infused Tequila,Fresh Lime Juice,"Cucumber slice, fresh mint sprig"
Widow's Dream Cocktail,Cocktail Classics,Benedictine,Whole Egg,NA,NA,NA,NA
Vodka Gypsy Cocktail,Cocktail Classics,Old Mr. Boston Vodka,Benedictine,Angostura Bitters,NA,NA,NA
South Of The Border,Tequila,Blanco tequila,Coffee-flavored brandy,Fresh Lime Juice,NA,NA,NA
Vodka Grasshopper Cocktail,Cocktail Classics,Old Mr. Boston Vodka,Old Mr. Boston Green Creme de Menthe,Old Mr. Boston White Creme de Cacao,NA,NA,NA
